Country name,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Year
Finland,7.672,10.745,0.965,69.76,2006
Country name,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Year
Finland,7.671,10.796,0.951,70.08,2008
Country name,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Year
Finland,7.393,10.734,0.935,70.4,2010
Country name,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Year
Finland,7.354,10.754,0.938,70.64,2011
Country name,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Year
Finland,7.42,10.735,0.928,70.88,2012
Country name,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Year
Finland,7.445,10.722,0.941,71.12,2013
Country name,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Year
Finland,7.385,10.714,0.952,71.36,2014
Country name,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Year
Finland,7.448,10.716,0.948,71.6,2015
Country name,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Year
Finland,7.66,10.74,0.954,71.7,2016
Country name,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Year
Finland,7.788,10.768,0.964,71.8,2017
Country name,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Year
Finland,7.858,10.783,0.962,71.9,2018
Country name,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Year
Finland,7.78,10.792,0.937,72.0,2019
Country name,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Year
Finland,7.808700085,10.63926697,0.954329729,71.9008255,2020
Country name,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Year
Finland,7.842,10.775,0.954,72.0,2021
Country name,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Year
Finland,7.804,10.792,0.969,71.15,2023
